sum:22600,dvd:0
sum:27578,dvd:4978
sum:210670,dvd:183092
sum:331934,dvd:121264
sum:390102,dvd:58168
sum:419975,dvd:29873
sum:457547,dvd:37572
sum:523474,dvd:65927
sum:525368,dvd:1894
sum:561696,dvd:36328
sum:639200,dvd:77504
sum:666759,dvd:27559
sum:668463,dvd:1704
sum:714390,dvd:45927
sum:786127,dvd:71737
sum:787446,dvd:1319
sum:796467,dvd:9021
sum:839391,dvd:42924
sum:881136,dvd:41745
sum:934592,dvd:53456
sum:960458,dvd:25866
sum:1002377,dvd:41919
sum:1034298,dvd:31921
sum:1121663,dvd:87365
sum:1144204,dvd:22541
sum:1208108,dvd:63904
sum:1354494,dvd:146386
sum:1399907,dvd:45413
sum:1412880,dvd:12973
sum:1417377,dvd:4497
sum:1531844,dvd:114467
sum:1565560,dvd:33716
sum:1576300,dvd:10740
sum:1627659,dvd:51359
sum:1642907,dvd:15248
sum:1762772,dvd:119865
sum:1819946,dvd:57174
sum:1830381,dvd:10435
sum:1906272,dvd:75891
sum:1939193,dvd:32921
sum:1947497,dvd:8304
sum:1956472,dvd:8975
sum:1985989,dvd:29517
sum:2053625,dvd:67636
sum:2068184,dvd:14559
sum:2074051,dvd:5867
sum:2125938,dvd:51887
sum:2139514,dvd:13576
sum:2158672,dvd:19158
sum:2180083,dvd:21411
sum:2234396,dvd:54313
sum:2237170,dvd:2774
sum:2271275,dvd:34105
sum:2292641,dvd:21366
sum:2311153,dvd:18512
sum:2408217,dvd:97064
sum:2518669,dvd:110452
sum:2600038,dvd:81369
sum:2643676,dvd:43638
sum:2752174,dvd:108498
sum:2852421,dvd:100247
sum:2960342,dvd:107921
sum:2976979,dvd:16637
sum:3076446,dvd:99467
sum:3089189,dvd:12743
sum:3116556,dvd:27367
sum:3203826,dvd:87270
sum:3245083,dvd:41257
sum:3245884,dvd:801
sum:3313741,dvd:67857
sum:3362069,dvd:48328
sum:3371711,dvd:9642
sum:3385104,dvd:13393
sum:3470355,dvd:85251
sum:3505212,dvd:34857
sum:3512236,dvd:7024
sum:3537228,dvd:24992
sum:3570306,dvd:33078
sum:3620813,dvd:50507
sum:3676474,dvd:55661
sum:3752279,dvd:75805
sum:3755412,dvd:3133
sum:3774901,dvd:19489
sum:3827832,dvd:52931
sum:3850360,dvd:22528
sum:3856395,dvd:6035
sum:3897257,dvd:40862
sum:3905756,dvd:8499
sum:3951295,dvd:45539
sum:3998100,dvd:46805
sum:4044811,dvd:46711
sum:4065599,dvd:20788
sum:4090393,dvd:24794
sum:4100022,dvd:9629
sum:4111045,dvd:11023
sum:4217728,dvd:106683
sum:4231643,dvd:13915
sum:4267699,dvd:36056
sum:4308979,dvd:41280
sum:4332745,dvd:23766
sum:4372866,dvd:40121
sum:4385880,dvd:13014
sum:4406259,dvd:20379
sum:4428143,dvd:21884
sum:4528292,dvd:100149
sum:4570253,dvd:41961
sum:4640194,dvd:69941
sum:4727041,dvd:86847
sum:4776125,dvd:49084
sum:4851296,dvd:75171
sum:4860004,dvd:8708
sum:4944253,dvd:84249
sum:4957064,dvd:12811
sum:4974566,dvd:17502
sum:5060241,dvd:85675
sum:5087586,dvd:27345
sum:5092930,dvd:5344
sum:5108859,dvd:15929
sum:5247114,dvd:138255
sum:5280127,dvd:33013
sum:5282818,dvd:2691
sum:5288764,dvd:5946
sum:5330143,dvd:41379
sum:5352802,dvd:22659
sum:5403220,dvd:50418
sum:5421970,dvd:18750
sum:5440420,dvd:18450
sum:5475445,dvd:35025
sum:5532531,dvd:57086
sum:5617394,dvd:84863
sum:5677178,dvd:59784
sum:5830488,dvd:153310
sum:5955626,dvd:125138
sum:6058000,dvd:102374
sum:6060213,dvd:2213
sum:6081616,dvd:21403
sum:6087799,dvd:6183
sum:6168907,dvd:81108
sum:6194969,dvd:26062
sum:6213664,dvd:18695
sum:6267212,dvd:53548
sum:6296661,dvd:29449
sum:6296847,dvd:186
sum:6337057,dvd:40210
sum:6346845,dvd:9788
sum:6507795,dvd:160950
sum:6524816,dvd:17021
sum:6528039,dvd:3223
sum:6652399,dvd:124360
sum:6698412,dvd:46013
sum:6739484,dvd:41072
sum:6818007,dvd:78523
sum:6863054,dvd:45047
sum:6897068,dvd:34014
sum:6906203,dvd:9135
sum:6909259,dvd:3056
sum:6919207,dvd:9948
sum:6948861,dvd:29654
sum:7016644,dvd:67783
sum:7113538,dvd:96894
sum:7141786,dvd:28248
sum:7206760,dvd:64974
sum:7215702,dvd:8942
sum:7323281,dvd:107579
sum:7330435,dvd:7154
sum:7355758,dvd:25323
sum:7377859,dvd:22101
sum:7443510,dvd:65651
sum:7450570,dvd:7060
sum:7493925,dvd:43355
sum:7503128,dvd:9203
sum:7513475,dvd:10347
sum:7517860,dvd:4385
sum:7538799,dvd:20939
sum:7644100,dvd:105301
sum:7701596,dvd:57496
sum:7708953,dvd:7357
sum:7732883,dvd:23930
sum:7761715,dvd:28832
sum:7786339,dvd:24624
sum:7845311,dvd:58972
sum:7885995,dvd:40684
sum:7939334,dvd:53339
sum:7946252,dvd:6918
sum:8053360,dvd:107108
sum:8064716,dvd:11356
sum:8175252,dvd:110536
sum:8179220,dvd:3968
sum:8245276,dvd:66056
sum:8258729,dvd:13453
sum:8269722,dvd:10993
sum:8471653,dvd:201931
sum:8478359,dvd:6706
sum:8562195,dvd:83836
sum:8634227,dvd:72032
sum:8649680,dvd:15453
sum:8743006,dvd:93326
sum:8747264,dvd:4258
sum:8748850,dvd:1586
sum:8803028,dvd:54178
sum:8815891,dvd:12863
sum:8880687,dvd:64796
sum:8882079,dvd:1392
sum:8966095,dvd:84016
sum:9016428,dvd:50333
sum:9052081,dvd:35653
sum:9138681,dvd:86600
sum:9144068,dvd:5387
sum:9257897,dvd:113829
sum:9299172,dvd:41275
sum:9376132,dvd:76960
sum:9414195,dvd:38063
sum:9430026,dvd:15831
sum:9433497,dvd:3471
sum:9489976,dvd:56479
sum:9534254,dvd:44278
sum:9546342,dvd:12088
sum:9566969,dvd:20627
sum:9602987,dvd:36018
sum:9612271,dvd:9284
sum:9615317,dvd:3046
sum:9652751,dvd:37434
sum:9778416,dvd:125665
sum:9814220,dvd:35804
sum:9934890,dvd:120670
sum:9949721,dvd:14831
sum:9975523,dvd:25802
sum:10018730,dvd:43207
sum:10029759,dvd:11029
sum:10030229,dvd:470
sum:10072663,dvd:42434
sum:10212493,dvd:139830
