sum:6893824,dvd:0
sum:7038934,dvd:145110
sum:8025023,dvd:986089
sum:9813082,dvd:1788059
sum:15933276,dvd:6120194
sum:17146273,dvd:1212997
sum:17913544,dvd:767271
sum:20252420,dvd:2338876
sum:24067781,dvd:3815361
sum:26079837,dvd:2012056
sum:30165754,dvd:4085917
sum:30977671,dvd:811917
sum:41553539,dvd:10575868
sum:46592708,dvd:5039169
sum:50994957,dvd:4402249
sum:61046084,dvd:10051127
sum:62924877,dvd:1878793
sum:64963912,dvd:2039035
sum:66441862,dvd:1477950
sum:68157293,dvd:1715431
sum:68983611,dvd:826318
sum:72488770,dvd:3505159
sum:72665603,dvd:176833
sum:72968027,dvd:302424
sum:74871213,dvd:1903186
sum:78752077,dvd:3880864
sum:81191143,dvd:2439066
sum:87157510,dvd:5966367
sum:87790658,dvd:633148
sum:89151856,dvd:1361198
sum:89955419,dvd:803563
sum:99080406,dvd:9124987
